,0
0,-0.05949606251316972
1,-0.2653861229050641
2,-0.10549986519811044
3,-0.05032214584360411
4,-0.1294316892867031
5,-0.31064351429888215
6,-0.11560917524889683
7,-0.044953266983092315
8,-0.05815158938431924
9,-0.07845536761139363
10,-0.07431243482641645
11,-0.16862341310717935
12,-0.22639248799468906
13,-0.0681229818472814
14,-0.09908696833896657
15,-0.06225023362094732
16,-0.04807399001450939
17,-0.3251058412985733
18,-0.1811086295052422
19,-0.13349243013748763
20,-0.029683924707991197
21,-0.09592261567558222
22,-0.10588734975076465
23,-0.08765530795906405
24,-0.24427011315318325
25,-0.07837485038402815
26,-0.05285791842553158
27,-0.1821935108710444
28,-0.21314867819911487
29,-0.12151180726652695
30,-0.06502376322786561
31,-0.25366283799194456
32,-0.13378445246645426
33,-0.05011821932130641
34,-0.1446913597003848
35,-0.1329196554831247
36,-0.16245782115840998
37,-0.027256136909333664
38,-0.16417216490137315
39,-0.15851967626957228
40,-0.11135116723121634
41,-0.40534982935430036
42,-0.1568968459508199
43,-0.0686765073561955
44,-0.11007426608645504
45,-0.1643968023670755
46,-0.06257431193711308
47,-0.27786460961169535
48,-0.18862624948127557
49,-0.12220181542992699
50,-0.04157175243349427
51,-0.0771540246582037
52,-0.06420466676774221
53,-0.08600313015959399
54,-0.12357001903465924
55,-0.1319698813011255
56,-0.13110207014723593
57,-0.0654415209052892
58,-0.03403386471151965
59,-0.028707180918269362
60,-0.09086937304710899
61,-0.12569698847428243
62,-0.04623510944325308
63,-0.05598098725360769
64,-0.1391774188661496
65,-0.28138208206776755
66,-0.13700146088780785
67,-0.2420763631719153
68,-0.4275599702798543
69,-0.15219679344627107
70,-0.055473397584842016
71,-0.09480843085119399
72,-0.21417891373726386
73,-0.03200714719156222
74,-0.04543255058661202
75,-0.08888210001861098
76,-0.4019043929319684
77,-0.18856458804279533
78,-0.05233433642324164
79,-0.14238630412236217
80,-0.19473545390137964
81,-0.12742371272617528
82,-0.25941918725709945
83,-0.056321223395624224
84,-0.10099419546062222
85,-0.047905180705572134
86,-0.3136195646298223
87,-0.09534532669192146
88,-0.05122895568858953
89,-0.06652277636841104
90,-0.05899705505140663
91,-0.05691069335409307
92,-0.09387483183601616
93,-0.1133760459629463
94,-0.08826152572626357
95,-0.058812076208797553
96,-0.08653990219338369
97,-0.06642172540437581
98,-0.16511572012910253
99,-0.051955313091655526
100,-0.06608584448701117
101,-0.18040036132949722
102,-0.056331267572210096
103,-0.03333795748954657
104,-0.16038025436437117
105,-0.05029189602807908
106,-0.18499402400206494
107,-0.09944091583440967
108,-0.14989275935174445
109,-0.13294447235303586
110,-0.31256632393426487
111,-0.1778908374393283
112,-0.2568203921348594
113,-0.15236642511584642
114,-0.10566522451954823
115,-0.05402793326520072
116,-0.05202498334675598
117,-0.042535876031629866
118,-0.10551736767847945
119,-0.2741235676230139
120,-0.11400497505039754
121,-0.09502205278113175
122,-0.04363878011851748
123,-0.101303810746922
124,-0.04631629223411072
125,-0.08293410895161138
126,-0.07276635181753845
127,-0.14722201800068938
128,-0.16772112800032193
129,-0.25879401209088243
130,-0.158599357089157
131,-0.16113259980184141
132,-0.06349084107796525
133,-0.2139270356365965
134,-0.17702565236238216
135,-0.08260393662572581
136,-0.29146800437633374
137,-0.26192178361978563
138,-0.0548433703739917
139,-0.008186504844592752
140,-0.05651861759905035
141,-0.04504833743320026
142,-0.25109873004543454
143,-0.09756079879452643
144,-0.14100672380640025
145,-0.15310485370036736
146,-0.1494613287849835
147,-0.07399790399685315
148,-0.2428088464307342
149,-0.16225931903842397
150,-0.07756775298395088
151,-0.06248415412911211
152,-0.2160989411172299
153,-0.043085033687059834
154,-0.18625324425184583
155,-0.06280139261473935
156,-0.0999005030564301
157,-0.14739592985752706
158,-0.11255164683169047
159,-0.3513172477174367
160,-0.05387352194451326
161,-0.09382981586324193
162,-0.08377114036968045
163,-0.08435256997830061
164,-0.1871915211358151
165,-0.295097564798469
166,-0.0536675734182092
167,-0.1195100305760721
168,-0.039589812061914316
169,-0.40536260368456495
170,-0.08971985366292544
171,-0.0860757499869631
172,-0.26026831002306283
173,-0.11989633999239006
174,-0.11161541845285894
175,-0.3308600994367605
176,-0.06334639792365399
177,-0.10991303287477915
178,-0.1246239794658782
179,-0.0666269201138081
180,-0.08205767048449034
181,-0.06562851980725681
182,-0.49943338050560454
183,-0.09936089254405428
184,-0.1578821597425961
185,-0.04343399293935162
186,-0.19582564075490969
187,-0.34561379574778145
188,-0.055381409732677425
189,-0.3636327457634078
190,-0.12214132553682118
191,-0.2003467960194655
192,-0.07049428467393747
193,-0.14789088836296568
194,-0.0420306851302412
195,-0.09601908454994668
196,-0.04174549858095477
197,-0.3192611976816761
198,-0.046342619627771614
199,-0.1632527960898859
200,-0.14777479737529015
201,-0.10718711580055013
202,-0.07824629002931714
203,-0.4495368220182756
204,-0.07947840924502873
205,-0.05978113880937256
206,-0.116940251451883
207,-0.07619705870252107
208,-0.10939778250993931
209,-0.14008108406502073
210,-0.08290798197376746
211,-0.06794424817217905
212,-0.11570024180057029
213,-0.05052462570986536
214,0.03372705401207682
215,-0.23618062714056295
216,-0.11851866711561532
217,-0.23821220429296008
218,-0.050715828125540104
219,-0.5036837490644538
220,-0.07544507726646361
221,-0.234312877499115
222,-0.032646943873704856
223,-0.10148043681070751
224,-0.11422405291460136
225,-0.21615842812267735
226,-0.04288847467623051
227,-0.1382109171566099
228,-0.21408717121489837
229,-0.17751450494807916
230,-0.1388235969206115
231,-0.15312305843023685
232,-0.1907652094090123
233,-0.055853703759099226
234,-0.1234902443901344
235,-0.1512066898486434
236,-0.08311089662194565
237,-0.1880647891794353
238,-0.05186670595956145
239,-0.2937547878980698
240,-0.14194700791010867
241,-0.11412664659948328
242,-0.0872136912207224
243,-0.0512190916990952
244,-0.3823602891865268
245,-0.04671602251628888
246,-0.22123074506429524
247,-0.04393868426638265
248,-0.1108819349311329
249,-0.19100293848395514
250,-0.23838292867108019
251,-0.10727150974521678
252,-0.1064461633150906
253,-0.1261881745560849
254,-0.09819370079767623
255,-0.046814611740300466
256,-0.07297155309605076
257,-0.0781948016426194
258,-0.0779151430294272
259,-0.4493679846247246
260,-0.07917418039641953
261,-0.07399177078714657
262,-0.09224198008091011
263,-0.059979304932989336
264,-0.07890599610267918
265,-0.10837254068304815
266,-0.13580415669708787
267,-0.11188428052164269
268,-0.04726688210969955
269,-0.06147641578501333
270,-0.1092434587871148
271,-0.21148573237457052
272,-0.06747616604438139
273,-0.08223318805605162
274,-0.1256667158226316
275,-0.22131196094671593
276,-0.0697737508959475
277,-0.0350128799143154
278,-0.07998932425455914
279,-0.10725476660577048
280,-0.06676057746187442
281,-0.11917522291381388
282,-0.21064997158818538
283,-0.09406513123066366
284,-0.11677280277812077
285,-0.043867785987859134
286,-0.187392047906189
287,-0.26196467076683166
288,-0.05037072722698731
289,-0.14325015961332951
290,-0.10425671069126896
291,-0.12383084905273765
292,-0.0846060377068627
293,-0.1837713958162697
294,-0.1438111816181438
295,-0.11445320003342759
296,-0.16675060089432625
297,-0.07217286191068858
298,-0.07402555730356353
299,-0.062150648870309334
300,-0.06288301821243421
301,-0.25338843560065566
302,-0.08516690978688544
303,-0.4513560305636028
304,-0.06952020575251845
305,-0.2545565279419795
306,-0.3451935093534866
307,0.012886266390560982
308,-0.3403061666882332
309,-0.08978331190380592
310,-0.04289545415660059
311,-0.04311145704154899
312,-0.02901059011981425
313,-0.03249724259151719
314,-0.07059932101918769
315,-0.16780108235556584
316,-0.20878341731389802
317,-0.09351803170746216
318,-0.2400322757257685
319,-0.1464874442785152
320,-0.042626911328199436
321,-0.08337898989984352
322,-0.03142236107329367
323,-0.11618775220809606
324,-0.3730501504505977
325,-0.04945062584272327
326,-0.36067159989763475
327,-0.06967309216049793
328,-0.05686790263091057
329,-0.1550287941537135
330,-0.10793370700774638
331,-0.2328367751854845
332,-0.18521147942513463
333,-0.090483877131304
334,-0.06429014290098087
335,-0.14909229980520167
336,-0.03543274704783324
337,-0.07264209906277246
338,-0.09126510192583331
339,-0.08728609653257001
340,-0.11865225639157441
341,-0.1865461502122707
342,-0.11064005906890723
343,-0.2082439719783242
344,-0.1225396054040342
345,-0.0933825558037985
346,-0.09637970590068376
347,-0.13144224435946805
348,-0.21933987155080487
349,-0.11700195339641967
350,0.007347375041808132
351,-0.25916658824511873
352,-0.0688396238826813
353,-0.25584555765230876
354,-0.10761538205220794
355,-0.10857718847947095
356,-0.09144681256672504
357,0.022494983662364396
358,-0.04460911205245003
359,-0.07425873432997193
360,-0.22079295307256064
361,-0.13460183489313662
362,-0.24497029659182842
363,-0.1442275421256249
364,-0.07280101837157914
365,-0.0600284740027164
366,-0.2817911240776678
367,-0.10652849454395612
368,-0.04065710100643001
369,-0.06061228514492441
370,-0.13075381778536624
371,-0.13035028715180463
372,-0.4392328265941792
373,-0.10754864521649145
374,-0.07580882774154679
375,-0.23535110206497342
376,-0.17232297509480946
377,-0.11826905067334537
378,-0.20336342831928694
379,-0.057820772019383335
380,-0.17980476249494148
381,-0.2826761302472314
382,-0.13849849199941205
383,-0.08022505854052546
384,-0.11222784104333176
385,-0.1565080791986733
386,-0.0964077374451458
387,-0.07539175485296995
388,-0.10193727720500813
389,-0.04935956668789293
390,-0.1992510590095832
391,-0.057420915946576216
392,-0.30996672560551075
393,-0.04290487763526446
394,-0.24108092527367103
395,-0.04131741675427206
396,-0.16598485160774104
397,-0.07841404516560192
398,-0.04785456941132029
399,-0.212710974008178
400,-0.10086024686237471
401,-0.048239471789463514
402,-0.14542731882467333
